0,845,25
1,1317,41
2,2015,56
3,2800,80
4,4581,106
5,6058,132
6,7813,170
7,9821,213
8,11948,259
9,14552,304
10,17389,362
11,20628,426
12,24553,492
13,28276,565
14,31439,638
15,34876,724
16,37552,813
17,40553,910
18,43099,1018
