0,25
1,41
2,56
3,80
4,106
5,132
6,170
7,213
8,259
9,304
10,362
11,426
12,492
13,565
14,638
15,724
16,813
17,910
18,1018
19,1115
20,1261
21,1383
22,1526
23,1669
24,1775
25,1873
26,2009
27,2126
28,2247
29,2360
30,2460
31,2618
32,2699
33,2763
34,2800
35,2858
36,2923
37,2977
38,3050
39,3117
40,3202
41,3285
42,3387
43,3494
44,3599
45,3827
46,4025
47,4296
48,4628
49,4981
50,5428
51,5833
52,6520
53,7162
54,7979
55,8951
56,10030
57,11386
58,13011
59,14640
60,16513
61,18894
62,21282
63,24073
64,27343
65,30861
66,34065
67,37774
68,42309
69,47192
